_aSjnLZ2fqQ	20260613	9	Sound Smart	false	true	20260613	9	Bdellium Pronunciation (Impossible Word? 😳) #pronunciat
0poENK70E1k	20260915	8	Megija Liva | Speech Therapy	false	false	20260915	8	Stop Asking Your Toddler to Say It 👀 Full explanation i
1Dtq8ofJp0U	20260624	9	Sound Smart	false	true	20260624	9	Carapace Pronunciation (Hard Word Alert!) 🐢 #pronunciat
1Ue1-UlwuI4	20260803	21	Megija Liva | Speech Therapy	false	false	20260803	21	5 Things Parents Worry About (That Matter Much Less Tha
29rQtTfuEyU	20260619	23	HEARa	false	true	20260619	23	Learn to read lips No. 42
2AcUO-7TW0I	20260605	13	The English Coach	false	true	20260605	13	Different Spelling, Same Pronunciation (They're/There/T
3i3w9g6vkqg	20260905	16	Mr. Hisham	false	true	20260905	16	Ubiquitous Meaning in English | Pronunciation, Definiti
3zEQxCXuPCU	20260615	9	HEARa	false	true	20260615	9	Have hearing loss, but don’t need help
4uhn5CjvC7s	20260914	8	Megija Liva | Speech Therapy	false	false	20260914	8	Autism or Typical Play? Can You Tell the Difference? 👀
6cld1Mn-Zjo	20260718	3	Daily English Sentences	false	true	20260718	3	Daily English Speaking Practice #Shorts #EnglishPractic
6mcj2LlFtew	20260729	7	Megija Liva | Speech Therapy	false	false	20260729	7	Speech Delay or Autism? The Biggest Mistake Parents Mak
8c69Efv1jk4	20260614	10	Sign & Wander 	false	false	20260614	10	How to sign different sign for HELL
8jZcp93gJw4	20260603	9	Sound Smart	false	true	20260603	9	Vignette Pronunciation (Very Tricky!) 😲 #pronunciation 
8WF5_pYAX70	20260629	12	Word in Seconds	false	true	20260629	12	Success Meaning in English | Pronunciation & Example #s
9LCfbY9x2zg	20260902	15	ASL Interactive	false	false	20260902	15	Learn drink signs while you study! #asl #signlanguage #
9wBAWi95p3E	20260626	6	Sound Smart	false	true	20260626	6	Cognizant Pronunciation (99% Get It Wrong!) 🔥 #pronunci
apEVNWrLINs	20260812	17	Megija Liva | Speech Therapy	false	false	20260812	17	What If Your Toddler Could Finally Tell You What They W
AXdptFjszEg	20260917	7	Megija Liva | Speech Therapy	false	false	20260917	7	3 Mistakes to Stop Making If Your Toddler Isn’t Talking
bCssFrPvadA	20260603	4	Sign & Wander 	false	false	20260603	4	How to sign QR in ASL. #asl
BvrgFNNHlbY	20260908	10	Megija Liva | Speech Therapy	false	false	20260908	10	Comment 7 STEPS and I’ll help you get started with my f
cD8DWht_eLE	20260723	21	The English Coach	true	true	20260723	21	Arnch = Aren’t
e1TxlgG-Vtg	20260816	16	Let's Learn Together	false	true	20260816	16	How to pronounce EPITOME? #english #learnenglish #prono
eOv5HD3RJGY	20260724	20	The English Coach	false	true	20260724	20	10 Word English Challenge 🇺🇸
ePKjWXN6yY0	20260812	25	Speech Secrets	false	true	20260812	25	Every New Rehab Tool Needs a Volunteer…
ETfHOFHCSOA	20260819	21	ASL Interactive	false	false	20260819	21	⬆️ Ready for fall? I got you BOO 🎃 Five new 24/7 ASL st
f-QCk1WlUXc	20260907	12	Megija Liva | Speech Therapy	false	false	20260907	12	📍 Check the pinned comment for the full explanation.
FEwgv-ADobc	20260715	19	Sign & Wander 	false	false	20260715	19	One English word, Many ASL Meanings: FRAME | ASL Semant
fi7n4VvUXpo	20260608	10	Cambridge English Hub	false	true	20260608	10	Silent G Words: GNOME & SIGN Pronunciation #Shorts
ga3qYIpVWww	20260909	15	Adventures in Speech Pathology	false	true	20260909	15	Visual cues not working in speech therapy? Try gestures
Ga7iO7ZeJRw	20260825	6	Megija Liva | Speech Therapy	false	false	20260825	6	Want the full explanation? 👀 Check the pinned comment 👇
GIGjxsCr9t4	20260905	21	English by Stéaviñ | EBS Tutorials	false	false	20260905	21	How to Pronounce Eat
gJ3A_ZDp65M	20260916	17	Megija Liva | Speech Therapy	false	false	20260916	17	Top Baby Toys for 0–12 Months | Speech Therapist’s Guid
J95jkjD4TQM	20260915	15	ASL Interactive	false	false	20260915	15	Don't Miss This ASL 4 Vocabulary Drill ❄️ Full lesson i
jjTnDHXPinA	20260801	4	Sign & Wander 	false	false	20260801	4	Human Trafficking. Learn how to sign "human trafficking
JMKCniDrJng	20260619	15	The English Coach	false	true	20260619	15	T Drop After N in American English 🇺🇸
JuwAm7FZZKs	20260816	7	Let's Learn Together	false	true	20260816	7	How to pronounce “NICHE”
l9LAX64jXxU	20260816	22	Let's Learn Together	false	true	20260816	22	How to pronounce COLONEL? #learnenglish #vocabulary #en
mS3eYq-Dw_k	20260909	13	Megija Liva | Speech Therapy	false	false	20260909	13	Your turn 👇 What’s the one toy you’d 100% put on the BU
OmyCqvf9kFQ	20260608	9	Sound Smart	false	true	20260608	9	Forte Pronunciation (You're Probably Saying It Wrong!) 
oTWArk3bzew	20260617	23	The English Coach	false	true	20260617	23	When the T flaps 🇺🇸
P-nboRFzS94	20260607	3	Sign & Wander 	false	false	20260607	3	Learning in ASL CREATOR .
p5IrupFlY5A	20260613	7	Sign & Wander 	false	false	20260613	7	How to sign Happy Pride day in ASL #asl
qPngaXIPKQc	20260609	21	Sign & Wander 	false	false	20260609	21	How to sign BLUETOOTH in ASL. #asl
QrdK2Hm-OIY	20260915	15	Jules Tush Speech Pathologist	false	true	20260915	15	Sometimes we need a reminder... we don't need to be per
qvf5yO6GFXg	20260816	10	Let's Learn Together	false	true	20260816	10	How to pronounce COLONEL? #english #learnenglish #fyp #
r_OpTLX8p2g	20260722	13	Megija Liva | Speech Therapy	false	false	20260722	13	Speech Delay or Autism? 5 Signs It's More Likely Autism
r5UMx2MDnXc	20260807	19	Sign & Wander 	false	false	20260807	19	ASL Semantics: Book- how to sign in ASL.
Raj4h85njEs	20260826	20	Simple English Lessons	false	true	20260826	20	How To Say Hello in English #Shorts
